 CH2CO              2   436.000     3.970     0.000     0.000     2.000
 CH3CO              2   436.000     3.970     0.000     0.000     2.000
 CH2CHO             2   436.000     3.970     0.000     0.000     2.000
 CH3CHO             2   436.000     3.970     0.000     0.000     2.000
 CH3CH2O  			2   470.600     4.410     0.000     0.000     1.500
 C2H3OH   			2   470.600     4.410     0.000     0.000     1.500
 CH2CH2OH 			2   470.600     4.410     0.000     0.000     1.500
 CH3CHOH  			2   470.600     4.410     0.000     0.000     1.500
 C2H5OH             2   436.000     3.970     0.000     0.000     2.000
 CH2CHOO            2   395.000     4.037     1.300     0.000     1.000
 CH2CH2O2H			2   523.200     5.664     1.700     0.000     1.000
 C2H4O2OH 			2   523.200     5.664     1.700     0.000     1.000
 O2C2H4OH 			2   523.200     5.664     1.700     0.000     1.000
 C2H5O2             2   436.000     3.970     0.000     0.000     2.000
 C2H5O2H			2   436.000     3.970     0.000     0.000     2.000
 CH2OCH             1   252.000     4.760     0.000     0.000     1.000
 CH2OCH2            1   252.000     4.760     0.000     0.000     1.000
 C3H2               2   209.000     4.100     0.000     0.000     1.000
 H2CCCH             2   252.000     4.760     0.000     0.000     1.000
 C3H4               1   252.000     4.760     0.000     0.000     1.000
 C3H5               2   260.000     4.850     0.000     0.000     1.000
 C3H6               2   266.800     4.982     0.000     0.000     1.000
 nC3H7  			2   303.400     4.810     0.000     0.000     1.000
 iC3H7              2   303.400     4.810     0.000     0.000     1.000
 C3H8               2   266.800     4.982     0.000     0.000     1.000
 C4                 2   357.000     5.180     0.000     0.000     1.000 ! as for
 H2CCCCH            2   357.000     5.180     0.000     0.000     1.000
 C4H4               2   357.000     5.180     0.000     0.000     1.000 ! JAM    
 i-C4H5             2   357.000     5.180     0.000     0.000     1.000 ! JAM   
 nC4H7				2   357.000     5.180     0.000     0.000     1.000 ! RAJ   
 C4H6               2   357.000     5.180     0.000     0.000     1.000          
 C4H                1   357.000     5.180     0.000     0.000     1.000          
 C4H2               1   357.000     5.180     0.000     0.000     1.000          
 C4H8               2   357.000     5.176     0.000     0.000     1.000          
 iC4H8              2   344.500     5.089     0.500     0.000     1.000 ! wjp    
 C5H5               1   357.000     5.180     0.000     0.000     1.000          
 C5H6               1   357.000     5.180     0.000     0.000     1.000          
 C6H                1   357.000     5.180     0.000     0.000     1.000   
 C6H2               1   357.000     5.180     0.000     0.000     1.000          
 C6H5O              2   450.000     5.500     0.000     0.000     1.000 ! JAM    
 C7H7               2   460.000     5.430     0.000     0.000     0.000 ! TAN    
 C7H8               2   495.300     5.680     0.430     12.30     0.000 ! WANG/FR
 C8H                1   357.000     5.180     0.000     0.000     1.000 !C6H  
 C8H2               1   357.000     5.180     0.000     0.000     1.000 !C6H2   
 n-C8H7             2   536.200     5.693     0.000     0.000     0.000 !C8H7+  
 A1                 2   464.8       5.29      0.00     10.32      1.000 !  benze
 A1-                2   464.8       5.29      0.00     10.32      1.000 !       
 A1C2H              2   535.6       5.72      0.77     12.00      1.000 !  pheny
 A1C2H-             2   535.6       5.72      0.77     12.00      1.000 !       
 A1C2H3             2   546.2       6.00      0.13     15.00      1.000 !  styre
 A1C2H3*            2   546.2       6.00      0.13     15.00      1.000 !       
 A2                 2   630.4       6.18      0.00     16.50      1.000 !  napht
 A2-                2   630.4       6.18      0.00     16.50      1.000 !       
 A2R5               2   693.1       6.47      0.00     18.00      1.000 !  acena
 A2R5-              2   693.1       6.47      0.00     18.00      1.000 !       
 A2C2H              2   693.1       6.47      0.00     18.00      1.000 !       
 A2C2H*             2   693.1       6.47      0.00     18.00      1.000 !       
 A3                 2   772.0       6.96      0.00     38.80      1.000 !  phena
 A4                 2   834.9       7.24      0.00     45.00      1.000 ! pyrene
 A4-                2   834.9       7.24      0.00     45.00      1.000 ! pyrene
 A3C2H              2   834.9       7.24      0.00     45.00      1.000 !       
 P2                 2   676.5       6.31      0.00     20.00      1.000 !  biphe
 P2-                2   676.5       6.31      0.00     20.00      1.000 !       
 C6H5OH             2   464.8       5.29      0.00     10.32      0.000 !  benze
 INDENYL            2   402.9       6.744     0.000     0.000     1.000 ! cp brau
 INDENE             2   402.9       6.744     0.000     0.000     1.000 ! A2 (HR)
 A3C2H*             2   879.600     7.561     0.000     0.000     0.000 !  as A3
 C18H12             2   879.600     7.561     0.000     0.000     0.000 !  C18H1
 C18H11             2   879.600     7.561     0.000     0.000     0.000 !  C18H1
 BAPYR              2   833.062     8.087     0.000     0.000     1.000 ! HR  fro
 BAPYR*S            2   833.062     8.087     0.000     0.000     1.000 ! "      
 BGHIF              2   870.700     7.559     0.000     0.000     1.000 ! b[ghi] 
 A4C2H              2   776.200     7.407     0.000     0.000     1.000 ! "PYRYNE
 A4C2H*             2   776.200     7.407     0.000     0.000     1.000 ! "  PYRY
 NE                 0   136.500     3.330     0.000     0.000     0.000          
 A3-                2   837.500     7.275     0.000     0.000     0.000          
 A2CH3              2   658.602     6.335     0.000     0.000     0.000 ! from M
 A2CH2              2   655.890     6.320     0.000     0.000     0.000 ! from M
 A3CH3              2   879.600     7.561     0.000     0.000     0.000 !trandat
 A3CH2              2   879.600     7.561     0.000     0.000     0.000 ! as A3

